uom link:https://sites.research.unimelb.edu.au/research-funding/assets/interim-private-files/2025_Westpac_Eligibility-Exemption-Request-Calculator_V2.xlsx, page source:https://sites.research.unimelb.edu.au/research-funding/domestic/westpac
uom link:https://sites.research.unimelb.edu.au/research-funding/assets/interim-private-files/DE25-Eligiblity-Exemption-Request-Form.xlsx, page source:https://sites.research.unimelb.edu.au/research-funding/arc/decra
uom link:https://sites.research.unimelb.edu.au/research-funding/assets/interim-private-files/DE26_Eligiblity-Exemption-Request-Form.xlsx, page source:https://sites.research.unimelb.edu.au/research-funding/arc/decra
uom link:https://sites.research.unimelb.edu.au/research-funding/assets/interim-private-files/FT_DECRA_EER-Info-Sheet_updated-20240904.pdf, page source:https://sites.research.unimelb.edu.au/research-funding/arc/decra
uom link:https://sites.research.unimelb.edu.au/research-funding/assets/interim-private-files/RIC_IN25_Authority-to-Submit-Form.docx, page source:https://sites.research.unimelb.edu.au/research-funding/arc/discovery-indigenous
uom link:https://sites.research.unimelb.edu.au/research-funding/assets/interim-private-files/DP25_Applicant_Guide_V2.pdf, page source:https://sites.research.unimelb.edu.au/research-funding/arc/discovery-projects
uom link:https://sites.research.unimelb.edu.au/research-funding/assets/interim-private-files/2024-ARC-COE-FOR-division.xlsx, page source:https://sites.research.unimelb.edu.au/research-funding/arc/discovery-indigenous
uom link:https://sites.research.unimelb.edu.au/research-funding/assets/interim-private-files/IN25-Part-B3-Research-Load-Template.docx, page source:https://sites.research.unimelb.edu.au/research-funding/arc/discovery-indigenous
uom link:https://sites.research.unimelb.edu.au/research-funding/assets/interim-private-files/IN25-UoM_Salary-Scales_Budget_V2.xlsx, page source:https://sites.research.unimelb.edu.au/research-funding/arc/discovery-indigenous
uom link:https://sites.research.unimelb.edu.au/research-funding/assets/interim-private-files/DE25_RIC_C2_Template_v1.docx, page source:https://sites.research.unimelb.edu.au/research-funding/arc/decra
uom link:https://sites.research.unimelb.edu.au/research-funding/assets/interim-private-files/DE25_RIC_appguide_v1.pdf, page source:https://sites.research.unimelb.edu.au/research-funding/arc/decra
uom link:https://sites.research.unimelb.edu.au/research-funding/assets/interim-private-files/DE25_RIC_Admin-Org-Support-Letter-Guide_v1.pdf, page source:https://sites.research.unimelb.edu.au/research-funding/arc/decra
uom link:https://sites.research.unimelb.edu.au/research-funding/assets/interim-private-files/DE25_UoM_authority_to_submit_form_v2.docx, page source:https://sites.research.unimelb.edu.au/research-funding/arc/decra
uom link:https://sites.research.unimelb.edu.au/research-funding/assets/interim-private-files/DE25-UoM_Salary-Scales_Budget_021123_FINAL.xlsx, page source:https://sites.research.unimelb.edu.au/research-funding/arc/decra
uom link:https://sites.research.unimelb.edu.au/research-funding/assets/interim-private-files/DP25-Salary-Scales-and-Budget-Preparation_v1_090424.xlsx, page source:https://sites.research.unimelb.edu.au/research-funding/arc/discovery-projects
uom link:https://sites.research.unimelb.edu.au/research-funding/assets/interim-private-files/DPEOI25_Advice-for-PIs_V2.docx, page source:https://sites.research.unimelb.edu.au/research-funding/arc/discovery-projects
uom link:https://sites.research.unimelb.edu.au/research-funding/assets/interim-private-files/2024-ARC-COE-FOR-division-updated-20240123.xlsx, page source:https://sites.research.unimelb.edu.au/research-funding/arc/decra
uom link:https://sites.research.unimelb.edu.au/research-funding/assets/interim-private-files/LP24_Authority-to-Submit_R2_v2.docx, page source:https://sites.research.unimelb.edu.au/research-funding/arc/linkage-projects
uom link:https://sites.research.unimelb.edu.au/research-funding/assets/interim-private-files/NIT-workshop-slides.pdf, page source:https://sites.research.unimelb.edu.au/research-funding/arc/decra
uom link:https://sites.research.unimelb.edu.au/research-funding/assets/interim-private-files/LP23_Partner-Investigator-Info-Booklet_Draft_EM_SV_Final_9Mar23.docx, page source:https://sites.research.unimelb.edu.au/research-funding/arc/linkage-projects
